domain,ideology,type
10nbc.com,,
10news.com,0.3315,
11alive.com,0.1956,
12news.com,0.1167,
13abc.com,0.1424,
13wmaz.com,0.059,
14news.com,0.2809,
14wfie.com,,
27east.com,-0.0899,local
28news.com,,
38thespot.com,,
397news.com,,
4bcaonline.com,,local
4utah.com,,
58abc.com,,
5newsonline.com,,
6onyourside.com,,
7online.com,-0.1448,
9news.com,0.152,
a2indy.com,,
abc-11.com,,
abc-7.com,0.4118,
abc.net.au,-0.2167,international
abc10.com,0.1524,
abc15.com,0.3036,
abc18-28.com,,
abc22.com,,
abc22.tv,,
abc23.com,,
abc24.com,,
abc25.com,,
abc26.com,,
abc28.com,,
abc30.com,0.2113,
abc3340.com,0.2458,
abc45.com,,
abc6.com,-0.032,
abc7.com,0.0957,national
abc7news.com,0.0002,
abclocal.go.com,-0.001,
abcnews.go.com,-0.0384,national
abcnewspapers.com,,
abcstlouis.com,,
aberdeennews.com,0.4177,local
abilene-rc.com,,
abqjournal.com,-0.1089,local
abs-cbn.com,,international
acadianagazette.net,,
acfreepress.com,,
ack.net,,
adaherald.com,,
adaircountyfreepress.com,,
adairprogress.com,,
adairvoice.com,,
addisonindependent.com,,
adelaidenow.com.au,-0.0409,international
adelnews.com,,
adirondackdailyenterprise.com,-0.1454,local
adirondackexpress.com,,
adn.com,-0.1124,local
advertiser-tribune.com,,
advertiserdemocrat.com,,
advertisergleam.com,,
advertisernewsnorth.com,,
advisor-chronicle.com,,
advocate-news.com,,
advocate.com,-0.7671,national
advocateanddemocrat.com,,local
advocatepress.com,,local
adweek.com,-0.1908,national
afp.com,-0.3436,international
afr.com,-0.1531,international
afro.com,-0.6051,
agalert.com,,
agjournalonline.com,,
ahwatukee.com,0.2917,
aikenstandard.com,0.1641,local
aim.org,0.8851,national
ainsworthnews.com,,
airforcetimes.com,-0.108,national
ajc.com,-0.0813,local
ajnews.com,,local
akron.com,,local
akronhometowner.com,,local
akronlegalnews.com,,
akronnewsreporter.com,,
aksuperstation.com,,
al.com,0.0245,local
alabamamessenger.com,,
alachuatoday.com,,
alamedasun.com,,
alamogordonews.com,,
alamosanews.com,,local
alaskajournal.com,,
alaskastar.com,,
albanyenterprise.com,,
albanyherald.com,-0.2253,
albertleatribune.com,,
albianews.com,,
albionnewsonline.com,,
alconareview.com,,
aldenadvance.com,,
aldenadvertisernews.com,,
aledotimesrecord.com,,
alexandriagazette.com,,
alexcityoutlook.com,,
alextimes.com,,
algona.com,,
alianzanews.com,,
alibi.com,-0.4655,local
alicetx.com,,
aljazeera.com,-0.5265,international
allegannews.com,,
alleghanynews.com,,
alliancetimes.com,,
alligator.org,0.092,local
allotsego.com,,local
almadentimes.com,,
almanacnews.com,,
alpineavalanche.com,,
alternet.org,-0.6378,national
altnewsban.com,,
altoonamirror.com,0.2917,local
altustimes.com,,
alvareviewcourier.com,,
alvinsun.net,,
am-news.com,,
amac.us,0.9178,
amarillo.com,0.4287,local
amboynews.com,,
ameliamonitor.com,,
americanbazaaronline.com,,national
americanpress.com,,local
americanrivermessenger.com,,
americanthinker.com,0.8718,national
americustimesrecorder.com,,
americusumterobserver.com,,
amestrib.com,0.2889,local
amherstbee.com,,
amherstbulletin.com,,
amigonews.com,,
amisun.com,,
amityvillerecord.com,,
amny.com,-0.4638,local
anchoragepress.com,,local
andalusiastarnews.com,,
andovertownsman.com,,
andrewscountynews.com,,
annandaleadvocate.com,,
annanews.com,,
annistonstar.com,0.1353,local
ansa.it,-0.0985,
ansonrecord.com,,
antena3.com,-0.1923,
anthonyblogan.com,,
anthonyrepublicannews.com,,
antigodailyjournal.com,,
antonnews.com,,
antrimreview.net,,
aol.com/news,,
ap.org,-0.5079,national
apalachtimes.com,,
apg-wi.com,,local
apnews.com,-0.3279,national
app.com,0.0875,local
appeal-democrat.com,,local
aptv.org,,
aransaspassprogress.com,,
arapahoemirror.org,,
arcadianews.com,,
arcamax.com,-0.0805,national
archboldbuckeye.com,,
arcolarecordherald.com,,
ardmoreite.com,,local
areanewsgroup.com,,
areawidenews.com,,
arenacindependent.com,,
argonautnews.com,,local
argus-press.com,,
argusleader.com,0.4518,local
argusobserver.com,,
arkansasbusiness.com,0.1937,
arkansasleader.com,,
arkansasonline.com,0.0116,local
arkansasweekly.com,,
arktimes.com,-0.6297,local
arkvalleynews.com,,
arlingtonconnection.com,,
arlingtonmnnews.com,,
arlingtontimes.com,,
armenianweekly.com,-0.0196,national
armytimes.com,0.4144,national
arnoldne.org,,
aroundosceola.com,,local
artesianews.com,,
artvoice.com,-0.25,local
arvadapress.com,,
asahi.com,-0.4076,international
ashleycountyledger.com,,
ashleynewsobserver.com,,
ashtongazette.com,,
asianjournal.com,,
asianjournalusa.com,,
asianreporter.com,,
aspendailynews.com,,local
aspentimes.com,-0.1952,local
atascaderonews.com,,
atchisonglobenow.com,,
athensmessenger.com,,local
athensnews.com,,
athensreview.com,,
atholdailynews.com,,
atkinschronicle.com,,
atkinsongraphic.com,,
atlantablackstar.com,-0.7064,local
atlantadailyworld.com,-0.3911,local
atmoreadvance.com,,
atmorenews.com,,
attn.com,-0.6387,national
auburnjournal.com,,
auburnpub.com,-0.0307,local
augusta.com,,local
augustafreepress.com,,local
augustatimes.net,,
auroraadvertiser.net,,local
auroraadvocate.com,,
auroranewsregister.com,,local
aurorasentinel.com,0.0746,
austinchronicle.com,-0.5237,local
austindailyherald.com,,local
austinweeklynews.com,,
avenuenews.com,,local
avoyellestoday.com,,
avpress.com,,
axios.com,-0.3361,national
azcapitoltimes.com,-0.0592,local
azcentral.com,0.1353,local
azdailysun.com,-0.2053,local
azfamily.com,0.3254,
azjournal.com,,
babylonbeacon.com,,
backbaysun.com,,
backroadsnews.com,,
bainbridgereview.com,,local
bajoelsol.com,,
bakercityherald.com,,
bakercountypress.com,,
bakersfield.com,-0.0985,local
baldwincity.com,,
balita.com,,
ballardnewstribune.com,,
baltimorechronicle.com,,
baltimorepostexaminer.com,,
baltimoresun.com,-0.2034,local
baltimoretimes-online.com,,
banderabulletin.com,,
bangordailynews.com,-0.1939,local
banksnewstoday.com,,
bannergraphic.com,,
barbertonherald.com,,
barnesville.com,,
barnesvillerecordreview.net,,
barnstablepatriot.com,,
barrons.com,0.3175,
barrowcountynews.com,,
barrowjournal.com,,
bartonchronicle.com,,
basehorinfo.com,,
bastropenterprise.com,,local
batesvilleheraldtribune.com,,
battlecreekenquirer.com,,local
baxleynewsbanner.com,,
baxterbulletin.com,,local
bayareaobserver.com,,
baycitytribune.com,,local
baymillsnews.com,,
baynews9.com,0.3467,
baysideoc.com,,
baytownsun.com,,local
bayweekly.com,,
bbc.co.uk,-0.2004,international
bbc.com,-0.2578,international
bccourier.com,,
bcdemocrat.com,,
bcdemocratonline.com,,local
bcn-news.com,,
bcrnews.com,,local
bctelegraph.com,,
bctribune.com,,
bdemo.com,,
bdtonline.com,0.2999,local
beachesleader.com,,
beaconhilltimes.com,,
beacononlinenews.com,,
beaconseniornews.com,,local
beardstownnewspapers.com,,
beatricedailysun.com,,local
beaumontenterprise.com,-0.2306,local
beauregarddailynews.net,,local
beavercreeknewscurrent.com,,
bedfordbulletin.com,,
bedfordtimes-press.com,,
beebenews.com,,
beenews.com,,
beforeitsnews.com,0.6788,national
belgrade-news.com,,local
belleplaineherald.com,,local
bellevilleareaindependent.com,,local
bellevuebusinessjournal.com,,
bellevueheraldleader.com,,local
bellinghambusinessnews.com,,
bellinghamherald.com,-0.0871,local
belmondnews.com,,
beloitdailynews.com,,local
bemidjipioneer.com,,local
bendbulletin.com,-0.1403,local
bendsource.com,,
benewsjournal.com,,
beniciaheraldonline.com,,
benningtonbanner.com,,local
bensonnews-sun.com,,
bentonconews.com,,
bentoncountyenterprise.com,,
bentoncourier.com,,local
bentoneveningnews.com,,
bentonspiritnews.com,,
berkeleydailyplanet.com,,
berkeleyobserver.com,,
berkshireeagle.com,-0.5639,
berkshirerecord.net,,
berlincitizen.com,,
berlindailysun.com,,
bernewitness.com,,
berthoudrecorder.com,,
berthoudsurveyor.com,,local
bestofneworleans.com,-0.1174,
bethanyclipper.com,,
bethelcitizen.com,,
beverlyhillsview.org,,
beverlypress.com,,
beverlyreview.net,,local
bgdailynews.com,0.3749,local
bhcourier.com,,local
bhgnews.com,,
bhpioneer.com,,local
bhweekly.com,,
big2.com,,
bigbeargrizzly.net,,
bigbendsentinel.com,,
bigforkeagle.com,,
bighorncountynews.com,,
bigsandynews.com,,
bigspringherald.com,,
bigtimberpioneer.net,,
billingsgazette.com,-0.2894,local
billoreilly.com,0.9113,national
biloxi-diberville-press.com,,
bing.com/news,,
bipartisanreport.com,-0.7469,national
birminghamtimes.com,,local
bismarcktribune.com,-0.2806,local
bitterrootstar.com,,
bizjournals.com,0.1077,national
bizpacreview.com,0.887,national
biztimes.com,,local
bizwest.com,0.0719,
bjournal.com,,
blackamericaweb.com,-0.7532,national
blackenterprise.com,-0.6226,
blackforestnews-co.com,,
blackmountainnews.com,,
blacknews.com,-0.6366,national
blackvoicenews.com,,
blackwelljournaltribune.net,,local
bladeempire.com,,
bladenjournal.com,,local
blavity.com,-0.8179,national
blazetv.com,,
blissfieldadvance.com,,
bloomberg.com,-0.0792,national
bloomeradvance.com,,
bloomingprairieonline.com,,
blountcountian.com,,
blscourierherald.com,,
bluemountaineagle.com,,
blueridgenow.com,0.4687,local
bluffcountrynews.com,,
blufftontoday.com,,local
blythevillecourier.com,,
blythewoodonline.com,,
bnd.com,0.2513,local
bocabeacon.com,,
bocaratontribune.com,,
bocojo.com,,
boernestar.com,,
bogalusadailynews.com,,
bohemian.com,,
boiseweekly.com,-0.0072,local
bolivarcommercial.com,,
bolivarmonews.com,,
bonnercountydailybee.com,,
bonnersferryherald.com,,
boonevilledemocrat.com,,local
boonvilledailynews.com,,
boonvilleherald.com,,
boothbayregister.com,,
borgernewsherald.com,,
bossierpress.com,,
boston.com,-0.2612,local
bostonglobe.com,-0.3452,national
bostonherald.com,0.0754,local
bostonirish.com,,
bostonreview.net,-0.8007,national
boulder-monitor.com,,
bouldercityreview.com,,
boulderweekly.com,-0.6211,
bowienewsonline.com,,local
bowlinggreentimes.com,,
boyleheightsbeat.com,,
boynegazette.com,,
bozemandailychronicle.com,-0.0883,local
bradenton.com,0.3184,local
bradfordera.com,,local
bradystandard.com,,
brainerddispatch.com,,local
bransontrilakesnews.com,,local
braseltonnewstoday.com,,
breckenridgeamerican.com,,
breezecourier.com,,
breitbart.com,0.7419,national
brenhambanner.com,,
brewtonstandard.com,,local
bridgton.com,,local
brightonparklife.com,,
brightonpittsfordpost.com,,
brightsidenews.com,,
bristolobserver.com,,
british-weekly.com,,
broadcastingcable.com,-0.1685,local
brookingsregister.com,,
brooklyndaily.com,-0.359,
brooklyneagle.com,-0.5115,local
brooklynreporter.com,-0.2004,local
broomfieldenterprise.com,,local
browardpalmbeach.com,-0.0907,local
browncountydm.com,,
brownfieldonline.com,,
brownsvilleherald.com,,local
brownwoodtx.com,,
brunswickbeacon.com,,
brushnewstribune.com,,
bryancountynews.net,,
bryantdaily.com,,
bryantimes.com,,local
btimesherald.com,,
buckeyelakebeacon.net,,
buckscountycouriertimes.com,0.1298,local
buckscountyherald.com,,local
bucksportenterprise.com,,
bucyrustelegraphforum.com,,
buffalobulletin.com,,
buffalonews.com,-0.0199,local
buffaloreflex.com,,local
buffaloriverreview.com,,
buglenewspapers.com,,
bulgariasega.com,,
bullardnews.com,,
bulletin-news.com,,
bulletinnewspapers.com,,
bulletintimesnews.com,,
bullheadcity-bee.com,,
burkeconnection.com,,
burlington-record.com,,
burlingtoncountytimes.com,0.045,local
burlingtonfreepress.com,-0.334,local
burnetbulletin.com,,
burnettcountysentinel.com,,
busconews.com,,
business-standard.com,-0.1273,national
businessexaminer.com,,
businessinsider.com,-0.0373,national
businessjournaldaily.com,,local
businessobserverfl.com,0.628,local
businessreport.com,0.4646,local
busjournal.com,,
butlercountytimesgazette.com,,
butlercountytribune.com,,
butlereagle.com,,
buzzfeed.com,-0.1616,national
byronreviewonline.com,,
c-bstatesman.com,,
c-span.org,-0.1794,national
cabinet.com,,
caboolenterprise.com,,
cadillacnews.com,,
cadizrecord.com,,
cairomessenger.com,,
calaverasenterprise.com,,
caldwelljournal.com,,
caledonianrecord.com,,
calgaryherald.com,-0.0708,international
calgarysun.com,0.2658,international
calhounchronicle.com,,
calhouncountyjournal.com,,
calhounnewsherald.com,,
californiademocrat.com,,
callandpost.com,,
caller.com,0.2322,local
calmarcourier.com,,
camaspostrecord.com,,
cambridgechron.com,,
camdenarknews.com,,
cameronherald.com,,
cameronpilot.com,,
campbellexpress.com,,
campcountynow.com,,
campusreform.org,,national
canadafreepress.com,0.8944,international
canarsiecourier.com,,
canberratimes.com.au,-0.1877,international
candgnews.com,,local
cannoncourier.com,,
cannonfalls.com,,
canoncitydailyrecord.com,,local
cantondailyledger.com,,
cantonrep.com,0.3176,local
canyon-news.com,,local
canyoncourier.com,,
canyonnews.com,,
cape-coral-daily-breeze.com,,
capecodchronicle.com,,local
capecodtimes.com,-0.1952,local
capecourier.com,,
capegazette.com,,local
capemaycountyherald.com,0.1802,local
capenews.net,-0.4094,local
capitalcityweekly.com,,
capitalgazette.com,0.1496,local
