domain,facebook_page
27east.com,27east
4bcaonline.com,BCAdvertiser
abc.net.au,abc
abc7.com,ABC7
abcnews.go.com,ABCNews
aberdeennews.com,theaberdeennews
abqjournal.com,TheAlbuquerqueJournal
abs-cbn.com,abscbnNEWS
adirondackdailyenterprise.com,AdkEnterprise
adn.com,akdispatch
advocate.com,TheAdvocate
advocateanddemocrat.com,The-Advocate-Democrat
advocatepress.com,ClayCountyAdvocatePress
adweek.com,Adweek
afp.com,
afr.com,financialreview
aikenstandard.com,aikenstandard
aim.org,AccuracyInMedia
airforcetimes.com,AirForceTimes
ajc.com,ajc
ajnews.com,The-Apache-JunctionGold-Canyon-News
akron.com,akrondotcom
akronhometowner.com,The-Akron-Hometowner
al.com,birminghamnews
alamosanews.com,Alamosa-Valley-Courier
alibi.com,weeklyalibi
aljazeera.com,aljazeera
alligator.org,floridaalligator
allotsego.com,allotsego1808
alternet.org,AlterNetNews
altoonamirror.com,AltoonaMirror
amarillo.com,amarilloglobenews
americanbazaaronline.com,americanbazaaronline
americanpress.com,americanpress
americanthinker.com,AmericanThinker
amestrib.com,AmesTribune
amny.com,amnewyork
anchoragepress.com,anchoragepress
annistonstar.com,annistonstar
apg-wi.com,Ashland-Daily-Press
apnews.com,APNews
app.com,asburyparkpress
appeal-democrat.com,appealdemocrat
arcamax.com,ArcaMaxPublishing
ardmoreite.com,The-Ardmoreite
argonautnews.com,TheArgonautNewspaper
argusleader.com,argusleader
arkansasonline.com,arkansasonline
arktimes.com,arkansastimes
armenianweekly.com,ArmenianWeekly
armytimes.com,armytimes
aroundosceola.com,Osceola-News-Gazette
artvoice.com,artvoiceav
asahi.com,
aspendailynews.com,aspendailynews
aspentimes.com,AspenTimes
athensmessenger.com,athensmessenger
atlantablackstar.com,ATLBlackStar
atlantadailyworld.com,Atlanta-Daily-World
attn.com,attn
auburnpub.com,auburncitizen
augusta.com,TheAugustaChronicle
augustafreepress.com,AugustaFreePress
auroraadvertiser.net,The-Aurora-Advertiser
auroranewsregister.com,auroranewsregister
austinchronicle.com,AustinChronicle
austindailyherald.com,austindailyherald
avenuenews.com,theavenuenews
axios.com,axiosnews
azcapitoltimes.com,azcapitoltimes
azcentral.com,azcentral
azdailysun.com,ArizonaDailySun
bainbridgereview.com,BainbridgeReview
bakersfield.com,BakersfieldCalifornian
baltimoresun.com,baltimoresun
bangordailynews.com,bangordailynews
bastropenterprise.com,BastropEnterprise
battlecreekenquirer.com,battlecreekenquirer
baxterbulletin.com,bulletin.newsroom
baycitytribune.com,The-Bay-City-Tribune
baytownsun.com,BaytownSun
bbc.co.uk,bbc
bbc.com,bbcnews
bcdemocratonline.com,Bent-County-Democrat
bcrnews.com,bcrnews
bdtonline.com,bdtonline
beaconseniornews.com,BeaconSeniorNews
beatricedailysun.com,BeatriceDailySun
beaumontenterprise.com,bmtenterprise
beauregarddailynews.net,beauregardnews
beforeitsnews.com,
belleplaineherald.com,belleplaineherald
bellevilleareaindependent.com,
bellevueheraldleader.com,Bellevue-Herald-Leader
bellinghamherald.com,bellinghamherald
beloitdailynews.com,BeloitDailyNews
bemidjipioneer.com,bemidjipioneer
bendbulletin.com,bendbulletin
benningtonbanner.com,benningtonbanner
bentoncourier.com,Saline-Courier
berthoudsurveyor.com,BerthoudSurveyor
beverlyreview.net,beverlyreview
bgdailynews.com,bgdailynews
bhcourier.com,BHCourier
billingsgazette.com,billingsgazette
billoreilly.com,billoreillyofficial
bipartisanreport.com,Bipartisanism
birminghamtimes.com,birmingham.times
bismarcktribune.com,BisTrib
bizjournals.com,birminghambusinessjournal
bizpacreview.com,bizpacreview
biztimes.com,BizTimesMedia
blackamericaweb.com,BlackAmericaWeb
blacknews.com,blacknews
blackwelljournaltribune.net,BlackwellJournalTribune
bladenjournal.com,The-Bladen-Journal
blavity.com,Blavity
bloomberg.com,bloombergbusiness
blueridgenow.com,blueridgenow
blufftontoday.com,BlufftonToday
bnd.com,Belleville-News-Democrat
boiseweekly.com,boiseweekly
boonevilledemocrat.com,Booneville-Democrat
boston.com,boston
bostonglobe.com,globe
bostonherald.com,Boston-Herald
bostonreview.net,bostonreview
bowienewsonline.com,bowienews
bozemandailychronicle.com,dailychronicle
bradenton.com,BradentonHeraldNews
bradfordera.com,The-Bradford-Era
brainerddispatch.com,brainerddispatch
bransontrilakesnews.com,BransonTriLakesNews
breitbart.com,Breitbart
brewtonstandard.com,The-Brewton-Standard
bridgton.com,thebridgtonnews
broadcastingcable.com,BroadcastingandCable
brooklyneagle.com,BrooklynEagle
brooklynreporter.com,Home-Reporter
broomfieldenterprise.com,BroomfieldEnterprise
browardpalmbeach.com,newtimesbpb
brownsvilleherald.com,BrownsvilleHeraldNews
bryantimes.com,bryantimes
