domain,ideology,type
pilotonline.com,-0.0529,local
star-telegram.com,0.2801,local
yourconroenews.com,,
heraldsun.com,-0.2222,local
ibtimes.com,-0.201,national
ijr.com,0.63,national
gallup.com,-0.1041,national
suntimes.com,-0.0091,local
wtop.com,-0.0792,local
outbrain.com,0.0206,national
richmond.com,0.0133,local
mercurynews.com,-0.1167,local
tampabay.com,0.0938,local
fox13now.com,0.2729,
ktla.com,0.0312,
abc15.com,0.3036,
theconversation.com,-0.4203,national
wsbtv.com,0.063,
baltimoresun.com,-0.2034,local
trib.com,0.3628,local
mediaite.com,0.1359,national
orlandosentinel.com,0.1924,local
tribdem.com,0.1224,local
theadvocate.com,0.159,local
barrons.com,0.3175,
pewresearch.org,-0.3082,national
inquirer.com,-0.3523,
starnewsonline.com,0.1902,local
abc7news.com,0.0002,
wapt.com,,
fredericknewspost.com,-0.0966,local
indianexpress.com,-0.1564,international
scientificamerican.com,-0.4039,national
thefederalist.com,0.7078,national
wbir.com,0.076,
france24.com,-0.1466,international
aljazeera.com,-0.5265,international
bnd.com,0.2513,local
seattlepi.com,-0.1598,local
wpxi.com,0.176,
greensboro.com,-0.0961,local
wpbf.com,0.3387,
freebeacon.com,0.7926,national
thegatewaypundit.com,0.8635,
cincinnati.com,0.1238,local
thehour.com,-0.0381,local
wgntv.com,-0.1006,
theintercept.com,-0.5133,national
nola.com,0.063,local
democratandchronicle.com,0.0169,local
c-span.org,-0.1794,national
elpais.com,-0.3631,international
news.com.au,0.0545,international
kare11.com,0.0885,
ktiv.com,0.6579,
blueridgenow.com,0.4687,local
kdrv.com,0.1539,
theskimm.com,-0.1071,
wtae.com,0.1028,
theepochtimes.com,0.0084,national
abc7.com,0.0957,national
centralmaine.com,-0.2782,local
ketv.com,0.463,
fayobserver.com,0.0832,local
mailtribune.com,-0.131,local
wthr.com,0.3002,
mic.com,-0.595,national
gazette.com,0.4195,local
ksdk.com,0.1549,
reflector.com,-0.0578,local
watertowndailytimes.com,0.1764,local
truthdig.com,-0.6402,national
nwitimes.com,0.0492,local
jdnews.com,0.3045,local
cbn.com,0.7299,national
blazetv.com,,
arkansasonline.com,0.0116,local
petoskeynews.com,,local
newrepublic.com,-0.641,national
factcheck.org,-0.3078,national
theindependent.com,0.5022,local
haaretz.com,-0.3902,international
indystar.com,-0.0714,local
floridatoday.com,0.3232,local
northjersey.com,-0.0732,local
journalnow.com,0.0747,local
dispatch.com,-0.1494,local
knoxnews.com,0.1287,local
tennessean.com,0.1288,local
myrtlebeachonline.com,0.2184,local
qctimes.com,0.2881,local
wric.com,0.0637,
fox2detroit.com,0.0342,
propublica.org,-0.6551,national
thewashingtondailynews.com,,local
newsone.com,-0.7838,national
ft.com,-0.1956,international
wxyz.com,0.1919,
kxly.com,0.4557,
newbernsj.com,-0.0538,local
wptv.com,0.2239,
courier-journal.com,0.0697,local
houstonchronicle.com,-0.3191,
fox5ny.com,0.1373,
kutv.com,0.4367,
wfmynews2.com,0.1054,
timesunion.com,-0.1695,local
sacbee.com,-0.1316,local
univision.com,-0.4249,international
wkbw.com,0.1143,
post-gazette.com,-0.0408,local
wacotrib.com,0.0503,local
advocate.com,-0.7671,national
redstate.com,0.7672,national
kenoshanews.com,,local
campusreform.org,,national
beforeitsnews.com,0.6788,national
dailytarheel.com,-0.2241,local
khou.com,0.2737,
ktvb.com,0.5026,
kmbc.com,0.4693,
wlwt.com,0.3658,
hotair.com,0.8293,national
themarysue.com,-0.6075,
wgem.com,,
commondreams.org,-0.6526,national
