"","domain","twitter_handle"
"136","cbsnews.com","cbseveningnews"
"137","cbsnews.com","cbsthismorning"
"138","cbsnews.com","60minutes"
"139","cbsnews.com","cbssunday"
"140","cbsnews.com","facethenation"
"141","cbsnews.com","cbspolitics"
"142","wired.com","WIRED"
"143","theguardian.com","guardianus"
"144","thehill.com","thehill"
"145","thehill.com","defconhill"
"146","thehill.com","flooraction"
"147","thehill.com","hillsonthemoney"
"148","thehill.com","hillballotbox"
"149","thehill.com","e2wire"
"150","thehill.com","briefingroom"
"151","thehill.com","congressblog"
"152","nbcnews.com","nbcnews"
"153","nbcnews.com","breakingnews"
"154","nbcnews.com","nbcfirstread"
"155","nbcnews.com","nbcnewsthink"
"156","nbcnews.com","megyntoday"
"157","nbcnews.com","nbcout"
"158","nbcnews.com","nbcblk"
"159","nbcnews.com","nbclatino"
"160","nbcnews.com","nbcnewsbusiness"
"161","nbcnews.com","nbcnewsworld"
"162","nbcnews.com","nbcasianamerica"
"163","nbcnews.com","nbcinvestigates"
"164","nbcnews.com","datelinenbc"
"165","nbcnews.com","nbcnewsvideo"
"166","nbcnews.com","nbcpolitics"
"167","nbcnews.com","nbcnightlynews"
"168","nbcnews.com","todayshow"
"169","bbc.com","BBC"
"170","nypost.com","nypost"
"171","nypost.com","nypostbiz"
"172","nypost.com","nypostopinion"
"173","npr.org","npr"
"174","npr.org","npratc"
"175","npr.org","nprweekend"
"176","npr.org","morningedition"
"177","npr.org","waitwait"
"178","npr.org","nprfreshair"
"179","npr.org","nprpolitics"
"180","npr.org","latinousa"
"181","latimes.com","latimes"
"182","latimes.com","latimespolitics"
"183","latimes.com","latimesopinion"
"184","latimes.com","latimesnational"
"185","latimes.com","latimesbiz"
"186","latimes.com","latimesworld"
"187","cnbc.com","cnbc"
"188","cnbc.com","cnbcnow"
"189","cnbc.com","cnbci"
"190","cnbc.com","cnbcpolitics"
"191","cnbc.com","cnbcopinion"
"192","lehighvalleylive.com","lehighvalley"
"193","topix.com","pchdotcom"
"194","mountaineagle.com","dailymtneagle"
"195","theatlantic.com","theatlantic"
"196","theatlantic.com","theatlglobal"
"197","theatlantic.com","theatlpolitics"
"198","theatlantic.com","theatlbusiness"
"199","theatlantic.com","theatlnews"
"200","bloomberg.com","business"
"201","bloomberg.com","bpolitics"
"202","bloomberg.com","bv"
"203","bloomberg.com","bw"
"204","bloomberg.com","markets"
"205","breitbart.com","breitbartnews"
"206","emergencyemail.org","EmergencyEmail"
"207","marketwatch.com","MarketWatch"
"208","reuters.com","reuters"
"209","reuters.com","reuterstv"
"210","reuters.com","reutersopinion"
"211","reuters.com","specialreports"
"212","reuters.com","reutersworld"
"213","reuters.com","reuterspolitics"
"214","reuters.com","reutersbiz"
"215","reuters.com","reutersus"
"216","reuters.com","reuterslive"
"217","usnews.com","usnews"
"218","usnews.com","usnewsinvesting"
"219","usnews.com","usnewsweekly"
"220","mashable.com","socialgood"
"221","twincities.com","pioneerpress"
"222","vice.com","vice"
"223","vice.com","vicenews"
"224","vice.com","viceland"
"225","vice.com","viceimpact"
"226","vice.com","vice_money"
"227","chicagotribune.com","chicagotribune"
"228","chicagotribune.com","chitribbiz"
"229","chicagotribune.com","trib_ed_board"
"230","chicagotribune.com","chicagobreaking"
"231","buzzfeednews.com","BuzzFeedNews"
"232","time.com","time"
"233","time.com","timemaglive"
"234","time.com","timeideas"
